id,task,status,priority,notes,phase
70,Payments - Payment retry flow: Failed payment retry preserving booking intent per configured booking pattern (SRS 11.11.2),done,high,"depends on #69c| unblocked: manual reset, dependency gate re-checked at runtime",Phase 4 - Payments & Financial
71,Payments - Payment reconciliation support: Transaction records queryable for booking-payment reconciliation (SRS 14.3),done,high,"depends on #69c| unblocked: manual reset, dependency gate re-checked at runtime",Phase 4 - Payments & Financial
72a,Coupons - Define coupon entity and validation rules,done,high,"depends on #67f | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification",Phase 4 - Payments & Financial
72b,Coupons - Implement validity window checks (date range),done,high,"depends on #72a | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification",Phase 4 - Payments & Financial
72c,Coupons - Implement usage cap and redemption cap enforcement,done,high,depends on #72b,Phase 4 - Payments & Financial
72d,"Coupons - Add applicability rules (category, first/repeat)",done,high,"depends on #72c | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification",Phase 4 - Payments & Financial
73,Coupons - Coupon apply/remove APIs: Server-side validation + recompute; redemption linked to customer and booking (SRS 14.2),done,high,"depends on #72d #48 | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification",Phase 4 - Payments & Financial
74,Wallet - Wallet ledger: Append-only ledger; every entry references source event; balance API (SRS 14.5; 11.17),decomposed,high,"depends on #67f | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | superseded: decomposed into subtasks 74a,74b,74c",Phase 4 - Payments & Financial
74a,Wallet - Append-only ledger,done,high,"depends on #67f | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification",Phase 4 - Payments & Financial
74b,Wallet - every entry references source event,done,high,depends on #74a,Phase 4 - Payments & Financial
74c,Wallet - balance API (SRS 14.5; 11.17),done,high,depends on #74b,Phase 4 - Payments & Financial
75a,Refunds - Define refund entity and refund types (full/partial),done,high,"depends on #69c #74c| unblocked: manual reset, dependency gate re-checked at runtime",Phase 4 - Payments & Financial
75b,Refunds - Implement full refund logic (gateway or wallet),done,high,"depends on #75a| unblocked: manual reset, dependency gate re-checked at runtime",Phase 4 - Payments & Financial
75c,Refunds - Implement partial refund calculation and policy rules,done,high,"depends on #75b| unblocked: manual reset, dependency gate re-checked at runtime",Phase 4 - Payments & Financial
75d,Refunds - Add refund status lifecycle and tracking,done,high,"depends on #75c| unblocked: manual reset, dependency gate re-checked at runtime",Phase 4 - Payments & Financial
76,Frontend - Checkout and payment page: Payment initiation; result handling; retry UX (SRS 25.1),decomposed,high,"depends on #62f #68d | auto-blocked: depends on blocked task #68d | unblocked: manual reset, dependency gate re-checked at runtime | superseded: decomposed into subtasks 76a,76b,76c",Phase 4 - Payments & Financial
76a,Frontend - Payment initiation,done,high,"depends on #62f #68d| unblocked: manual reset, dependency gate re-checked at runtime",Phase 4 - Payments & Financial
76b,Frontend - result handling,done,high,depends on #76a,Phase 4 - Payments & Financial
76c,Frontend - retry UX (SRS 25.1),done,high,depends on #76b,Phase 4 - Payments & Financial
77,Frontend - Coupon UI: Apply/remove at checkout with success/error messaging; recomputed totals (SRS 11.10.3),done,high,"depends on #76c #73| unblocked: manual reset, dependency gate re-checked at runtime",Phase 4 - Payments & Financial
78,Frontend - Wallet and refund pages: Balance; ledger entries; refund status per booking (SRS 11.17),decomposed,high,"depends on #65c #74c | auto-blocked: depends on blocked task #65 | unblocked: manual reset, dependency gate re-checked at runtime | superseded: decomposed into subtasks 78a,78b,78c",Phase 4 - Payments & Financial
78a,Frontend - Balance,done,high,"depends on #65c #74c| unblocked: manual reset, dependency gate re-checked at runtime",Phase 4 - Payments & Financial
78b,Frontend - ledger entries,done,high,depends on #78a,Phase 4 - Payments & Financial
78c,Frontend - refund status per booking (SRS 11.17),done,high,depends on #78b,Phase 4 - Payments & Financial
79,QA - Financial flows test suite: Webhook idempotency; duplicate callbacks; coupon abuse cases; refund calculations,decomposed,critical,"depends on #69c #73 #75d | auto-blocked: depends on blocked task #69 | unblocked: manual reset, dependency gate re-checked at runtime | superseded: decomposed into subtasks 79a,79b,79c,79d",Phase 4 - Payments & Financial
79a,QA - Webhook idempotency,done,critical,"depends on #69c #73 #75d| unblocked: manual reset, dependency gate re-checked at runtime",Phase 4 - Payments & Financial
79b,QA - duplicate callbacks,done,critical,depends on #79a,Phase 4 - Payments & Financial
79c,QA - coupon abuse cases,done,critical,depends on #79b,Phase 4 - Payments & Financial
79d,QA - refund calculations,done,critical,depends on #79c,Phase 4 - Payments & Financial
80,Cancellation - Cancellation engine: Eligibility rules; fee/refund computation; actor+reason capture (SRS 11.14; 32.2),decomposed,high,"depends on #60c #75d | auto-blocked: depends on blocked task #60 | unblocked: manual reset, dependency gate re-checked at runtime | superseded: decomposed into subtasks 80a,80b,80c",Phase 5 - Post-Booking
80a,Cancellation - Eligibility rules,done,high,"depends on #60c #75d| unblocked: manual reset, dependency gate re-checked at runtime",Phase 5 - Post-Booking
80b,Cancellation - fee/refund computation,done,high,depends on #80a,Phase 5 - Post-Booking
80c,Cancellation - actor+reason capture (SRS 11.14; 32.2),done,high,depends on #80b,Phase 5 - Post-Booking
81,Cancellation - Cancellation API: Customer cancellation with policy summary and refund outcome (SRS 24.6),done,high,"depends on #80c| unblocked: manual reset, dependency gate re-checked at runtime",Phase 5 - Post-Booking
82,Reschedule - Reschedule engine: Eligibility window; count limits; slot revalidation via slot engine; fee impact (SRS 11.15; 32.3),decomposed,high,"depends on #60c #46 | auto-blocked: depends on blocked task #60 | unblocked: manual reset, dependency gate re-checked at runtime | superseded: decomposed into subtasks 82a,82b,82c,82d",Phase 5 - Post-Booking
82a,Reschedule - Eligibility window,done,high,"depends on #60c #46| unblocked: manual reset, dependency gate re-checked at runtime",Phase 5 - Post-Booking
82b,Reschedule - count limits,done,high,depends on #82a,Phase 5 - Post-Booking
82c,Reschedule - slot revalidation via slot engine,done,high,depends on #82b,Phase 5 - Post-Booking
82d,Reschedule - fee impact (SRS 11.15; 32.3),done,high,depends on #82c,Phase 5 - Post-Booking
83,Reschedule - Reschedule API: Get eligible slots + confirm reschedule with history record (SRS 24.6),done,high,"depends on #82d| unblocked: manual reset, dependency gate re-checked at runtime",Phase 5 - Post-Booking
84,Support - Experience schema: Tables: review; support_ticket; support_ticket_comment; notification_event (SRS 23.5),decomposed,high,"EF configs for SupportTicket/NotificationEvent salvaged to _salvage/support-notifications/ - the entities themselves still need to be created, configs reference nav properties that don't exist yet; reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | superseded: decomposed into subtasks 84a,84b,84c,84d",Phase 5 - Post-Booking
84a,Support - Tables: review,done,high,"EF configs for SupportTicket/NotificationEvent salvaged to _salvage/support-notifications/ - the entities themselves still need to be created, configs reference nav properties that don't exist yet; reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification",Phase 5 - Post-Booking
84b,Support - support_ticket,done,high,depends on #84a,Phase 5 - Post-Booking
84c,Support - support_ticket_comment,done,high,depends on #84b,Phase 5 - Post-Booking
84d,Support - notification_event (SRS 23.5),done,high,depends on #84c,Phase 5 - Post-Booking
85,Reviews - Review submission API: Completed-booking eligibility; one primary review per booking; optional time window (SRS 11.16; 17),decomposed,high,"depends on #84d #60c | auto-blocked: depends on blocked task #60 | unblocked: manual reset, dependency gate re-checked at runtime | superseded: decomposed into subtasks 85a,85b,85c",Phase 5 - Post-Booking
